"WeekInDayFmt","Sku","Store","Sales"
20071006,1383769,38,3
20071013,1383769,38,4
20051210,1383769,39,2
20051217,1383769,39,1
20051231,1383769,39,2
20060121,1383769,39,1
20051210,1383769,40,7
20051217,1383769,40,1
20060114,1383769,40,2
20060121,1383769,40,3
20060128,1383769,40,1
20060204,1383769,40,1
20060318,1383769,40,5
20060401,1383769,40,1
20060429,1383769,40,1
20060506,1383769,40,1
20060520,1383769,40,1
20060610,1383769,40,1
20060617,1383769,40,4
20060701,1383769,40,1
20060729,1383769,40,1
20060805,1383769,40,1
20060812,1383769,40,1
20060826,1383769,40,2
20060909,1383769,40,1
20060916,1383769,40,3
20060930,1383769,40,1
20061007,1383769,40,1
20061028,1383769,40,2
20061216,1383769,40,1
20070113,1383769,40,1
20070120,1383769,40,2
20070224,1383769,40,2
20070324,1383769,40,1
20070331,1383769,40,1
20070414,1383769,40,2
20070609,1383769,40,1
20070721,1383769,40,1
20070804,1383769,40,2
20070825,1383769,40,4
20070908,1383769,40,2
20071006,1383769,40,1
20051210,1383769,41,3
20061216,1383769,41,1
20061230,1383769,41,2
20070120,1383769,41,1
20070127,1383769,41,1
20070217,1383769,41,2
20070224,1383769,41,2
20070310,1383769,41,1
20070317,1383769,41,1
20070324,1383769,41,1
20070331,1383769,41,1
20070414,1383769,41,2
20070421,1383769,41,7
20070602,1383769,41,1
20070623,1383769,41,1
20070707,1383769,41,3
20070714,1383769,41,1
20070728,1383769,41,1
20070804,1383769,41,4
20070908,1383769,41,5
20071006,1383769,41,3
20071020,1383769,41,4
20051105,1383769,42,2
20051119,1383769,42,1
20051210,1383769,42,16
20060225,1383769,42,1
20060318,1383769,42,1
20060401,1383769,42,3
20060422,1383769,42,1
20060513,1383769,42,1
20060527,1383769,42,1
20060617,1383769,42,4
20060729,1383769,42,1
20060826,1383769,42,5
20060916,1383769,42,6
20061014,1383769,42,1
20061021,1383769,42,3
20061104,1383769,42,3
20061202,1383769,42,1
20061230,1383769,42,1
20070210,1383769,42,1
20070224,1383769,42,1
20070317,1383769,42,1
20070331,1383769,42,1
20070421,1383769,42,1
20070616,1383769,42,2
20070707,1383769,42,2
20070721,1383769,42,2
20070728,1383769,42,1
20070804,1383769,42,3
20070825,1383769,42,1
20070908,1383769,42,5
20071006,1383769,42,1
20071013,1383769,42,2
20051203,1383769,44,1
20051210,1383769,44,7
20051210,1383769,45,7
20051217,1383769,45,10
20060204,1383769,45,1
20060318,1383769,45,3
20060401,1383769,45,2
20060415,1383769,45,1
20060603,1383769,45,1
20051029,1383769,46,1
20051112,1383769,46,1
20051119,1383769,46,2
20051210,1383769,46,17
20051217,1383769,46,2
20051231,1383769,46,4
20060121,1383769,46,2
20060218,1383769,46,1
20060225,1383769,46,5
20060304,1383769,46,1
20060311,1383769,46,1
